Molecule_Name,Smiles,human_VDss_L_kg,Source,CAS
Biperiden,OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4,12,10.1124/dmd.118.082966,514-65-8
Biricodar,N1([C@@H](CCCC1)C(=O)OC(CCCc1cnccc1)CCCc1cnccc1)C(=O)C(c1cc(c(c(c1)OC)OC)OC)=O,1.34,10.1124/dmd.118.082966,159997-94-1
Bisaramil,CCN1C[C@H]2CN(C)C[C@@H](C1)C2OC(=O)c3ccc(Cl)cc3,9,10.1124/dmd.118.082966,89194-77-4
Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,2.4,10.1124/dmd.118.082966,66722-44-9
Bivalirudin,C([C@H]1N(CCC1)C([C@@H](Cc1ccccc1)N)=O)(=O)N[C@H](C(N1[C@H](C(=O)NCC(=O)NCC(NCC(=O)NCC(=O)N[C@H](C(NCC(=O)N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@H](C(N[C@H](C(N[C@@H](Cc2ccc(O)cc2)C(N[C@@H](CC(C)C)C(=O)O)=O)=O)CCC(O)=O)=O)CCC(O)=O)[C@H](CC)C)=O)CCC(O)=O)=O)CCC(O)=O)=O)Cc2ccccc2)=O)CC(O)=O)=O)CC(=O)N)=O)CCC1)=O)CCCNC(N)=N,0.27,10.1124/dmd.118.082966,128270-60-0
Bizelesin,c12c(N(C(c3cc4cc(NC(Nc5cc6c([nH]c(c6)C(N6c7c(c8c([nH]cc8C)c(c7)O)[C@@H](C6)CCl)=O)cc5)=O)ccc4[nH]3)=O)C[C@H]2CCl)cc(O)c2c1c(c[nH]2)C,0.05,10.1124/dmd.118.082966,129655-21-6
Bleomycin,O([C@H]([C@H](NC(c1nc([C@@H](NC[C@@H](C(N)=O)N)CC(N)=O)nc(c1C)N)=O)C(N[C@@H]([C@H]([C@@H](C(N[C@H](C(NCCc1nc(c2nc(C(NCCC[S+](C)C)=O)cs2)cs1)=O)[C@@H](C)O)=O)C)O)C)=O)c1c[nH]cn1)[C@@H]1[C@@H](O[C@@H]2[C@@H]([C@@H]([C@@H](O)[C@@H](O2)CO)OC(N)=O)O)[C@@H]([C@@H](O)[C@@H](O1)CO)O,0.43,10.1124/dmd.118.082966,11056-06-7
BLP1654,N12[C@@H](C(S[C@@H]2[C@@H](C1=O)NC(=O)[C@@H](c1ccccc1)NC(=O)NC(=N)N)(C)C)C(=O)O,0.24,10.1124/dmd.118.082966,28889-87-4
BMS-214662,O=S(=O)(N1Cc2cc(ccc2N(Cc3cnc[nH]3)C[C@H]1Cc4ccccc4)C#N)c5cccs5,0.84,10.1124/dmd.118.082966,195987-41-8
Bortezomib,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O,10,10.1124/dmd.118.082966,179324-69-7
Bosentan,COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4,0.29,10.1124/dmd.118.082966,147536-97-8
Brexpiprazole,c1cc(c2ccsc2c1)N3CCN(CC3)CCCCOc4ccc5ccc(=O)[nH]c5c4,1.46,10.1124/dmd.118.082966,913611-97-9
Brivaracetam,CCC[C@H]1CN([C@@H](CC)C(=O)N)C(=O)C1,0.56,10.1124/dmd.118.082966,357336-20-0
Bromazepam,Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,0.85,10.1124/dmd.118.082966,1812-30-2
Bromfenac,Nc1c(CC(=O)O)cccc1C(=O)c2ccc(Br)cc2,0.11,10.1124/dmd.118.082966,91714-94-2
Bromopride,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,3.1,10.1124/dmd.118.082966,4093-35-0
Bromotetrandrine,O(C)c1c2c3c(c(c1OC)Br)CCN([C@H]3Cc1cc(c(cc1)OC)Oc1ccc(C[C@H]3c4cc(O2)c(OC)cc4CCN3C)cc1)C,51,10.1124/dmd.118.082966,62067-29-2
Brostallicin,c1c(cn(c1C(=O)NCC/N=C(/N)N)C)NC(=O)c1n(cc(c1)NC(=O)c1cc(cn1C)NC(=O)c1cc(cn1C)NC(=O)C(=C)Br)C,0.36,10.1124/dmd.118.082966,203258-60-0
Brotizolam,Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Br)sc4n12,0.75,10.1124/dmd.118.082966,57801-81-7
Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,3.9,10.1124/dmd.118.082966,51333-22-3
Buflomedil,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,1.3,10.1124/dmd.118.082966,55837-25-7
Bufuralol,CCc1cccc2cc(oc12)C(O)CNC(C)(C)C,1.7,10.1124/dmd.118.082966,54340-62-4
Bumecaine,CCCCN1CCCC1C(=O)Nc2c(cc(cc2C)C)C,1.73,10.1124/dmd.118.082966,30103-44-7
Bumetanide,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O,0.16,10.1124/dmd.118.082966,28395-03-1
Bunazosin,CCCC(=O)N1CCCN(CC1)c2nc(N)c3cc(OC)c(OC)cc3n2,0.72,10.1124/dmd.118.082966,80755-51-7
Bupivacaine,CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C,0.84,10.1124/dmd.118.082966,38396-39-3
Buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,4.9,10.1124/dmd.118.082966,52485-79-7
Busulphan,CS(=O)(=O)OCCCCOS(=O)(=O)C,0.55,10.1124/dmd.118.082966,55-98-1
Buthionine sulfoximine,C([S@@](CCCC)(=N)=O)C[C@@H](C(O)=O)N,0.26,10.1124/dmd.118.082966,5072-26-4
Butorphanol,Oc1ccc2C[C@H]3N(CC4CCC4)CC[C@@]5(CCCC[C@@]35O)c2c1,12,10.1124/dmd.118.082966,42408-82-2
Butylbiguanide,CCCCNC(=N)NC(=N)N,1.84,10.1124/dmd.118.082966,692-13-7
Cabazitaxel,C1(C2=C([C@H](C[C@]1([C@H]([C@H]1[C@](C(=O)[C@@H]2OC)([C@H](C[C@@H]2[C@]1(CO2)OC(=O)C)OC)C)OC(=O)c1ccccc1)O)OC(=O)[C@@H]([C@H](c1ccccc1)NC(=O)OC(C)(C)C)O)C)(C)C,48,10.1124/dmd.118.082966,183133-96-2
Caderofloxacin,n1(cc(c(c2cc(c(c(c12)OC(F)F)N1C[C@@H](NCC1)C)F)=O)C(=O)O)C1CC1,1.1,10.1124/dmd.118.082966,153808-85-6
Caffeine,CN1C(=O)N(C)c2ncn(C)c2C1=O,0.63,10.1124/dmd.118.082966,1958/8/2
Calcitonin,CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc7ccc(cc7)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CS)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)[C@H](CS)N,0.23,10.1124/dmd.118.082966,21215-62-3
Calcitriol,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,0.25,10.1124/dmd.118.082966,32222-06-3
Canagliflozin,Cc1ccc(cc1Cc2ccc(s2)c3ccc(cc3)F)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,1.19,10.1124/dmd.118.082966,842133-18-0
Candesartan,CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)C(=O)O,0.13,10.1124/dmd.118.082966,139481-59-7
Candoxatrilat,[H]N(C1CCC(CC1)C(=O)O[H])C(C1(CCCC1)CC[C@@H](COCOC)C(=O)O[H])=O,0.25,10.1124/dmd.118.082966,123122-54-3
Cangrelor,CSCCNc1nc(SCCC(F)(F)F)nc2n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)CO[P@@](O[P@@](O)(=O)C(Cl)(P(O)(O)=O)Cl)(O)=O)cnc12,0.035,10.1124/dmd.118.082966,163706-06-7
Cannabidiol,CCCCCc1cc(O)c([C@@H]2C=C(C)CC[C@H]2C(=C)C)c(O)c1,6.69,10.1124/dmd.118.082966,13956-29-1
Cannabinol,c12c3c(OC(c1ccc(c2)C)(C)C)cc(CCCCC)cc3O,16.98,10.1124/dmd.118.082966,521-35-7
Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,0.75,10.1124/dmd.118.082966,62571-86-2
Carbazeran,c1(c(OC)cc2c(c1)c(nnc2)N1CCC(CC1)OC(NCC)=O)OC,0.67,10.1124/dmd.118.082966,70724-25-3
Carbenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.17,10.1124/dmd.118.082966,4697-36-3
Carboplatin,N[Pt+2]1(N)[O-]C(=O)C2(CCC2)C(=O)[O-]1,0.26,10.1124/dmd.118.082966,41575-94-4
Carebastine,C1C(CCN(C1)CCCC(c1ccc(C(C(=O)O)(C)C)cc1)=O)OC(c1ccccc1)c1ccccc1,0.41,10.1124/dmd.118.082966,90729-42-3
Carfilzomib,C1O[C@]1(C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC(=O)CN1CCOCC1)CCc1ccccc1)=O)CC(C)C)=O)Cc1ccccc1)=O)CC(C)C)=O)C,0.13,10.1124/dmd.118.082966,868540-17-4
Carmustine (BCNU),ClCCNC(=O)N(CCCl)N=O,1.2,10.1124/dmd.118.082966,154-93-8
Carnitine_L,C([N+](C)(C)C)[C@@H](CC(=O)[O-])O,0.4,10.1124/dmd.118.082966,406-76-8
Carocainide,C1CCN(C1)CCOc1c(OC)c2occc2c(c1NC(NC)=O)OC,0.8,10.1124/dmd.118.082966,66203-00-7
Carprofen,CC(c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)O,0.22,10.1124/dmd.118.082966,53716-49-7
Carumonam,NC(=O)OC[C@@H]1[C@H](NC(=O)\C(=N/OCC(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.18,10.1124/dmd.118.082966,87638-04-8
Carvedilol,COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23,1.3,10.1124/dmd.118.082966,72956-09-3
Carzelesin,c1(N(CC)CC)cc2oc(C(Nc3ccc4c(c3)cc([nH]4)C(N3C[C@H](c4c5c([nH]cc5C)c(OC(=O)Nc5ccccc5)cc34)CCl)=O)=O)cc2cc1,0.09,10.1124/dmd.118.082966,119813-10-4
Casopitant,c1(cc(cc(c1)[C@H](N(C(=O)N1CC[C@@H](C[C@@H]1c1c(cc(cc1)F)C)N1CCN(CC1)C(=O)C)C)C)C(F)(F)F)C(F)(F)F,2.77,10.1124/dmd.118.082966,414910-27-3
Caspofungin,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(NCCN)NC(=O)C2C(O)CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(O)CN3C(=O)C(NC1=O)C(C)O)C(O)C(O)c4ccc(O)cc4)C(O)CCN,0.13,10.1124/dmd.118.082966,162808-62-0
CB 10-277,CN(C)N=Nc1ccc(cc1)C(=O)O,0.25,10.1124/dmd.118.082966,7203-91-0
CDK-712,C([C@H]1c2c(cc(c(c2)O)O)CCN1)c1c2c(ccc1)cccc2,1.09,10.1124/dmd.118.082966,626252-75-3
Cefadroxil,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O,0.23,10.1124/dmd.118.082966,50370-12-2
Cefamandole,Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(=O)O,0.16,10.1124/dmd.118.082966,34444-01-4
Cefatrizine,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3c[nH]nn3)c4ccc(O)cc4,0.22,10.1124/dmd.118.082966,51627-14-6
Cefazedone,c1(nnc(s1)C)SCC=1CS[C@H]2N(C1C(O)=O)C([C@H]2NC(Cn1cc(c(c(c1)Cl)=O)Cl)=O)=O,0.13,10.1124/dmd.118.082966,56187-47-4
Cefazolin,Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)O)s1,0.12,10.1124/dmd.118.082966,25953-19-9
Cefbuperazone,CCN1CCN(C(=O)N[C@H]([C@H](C)O)C(=O)N[C@@]2(OC)[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4C)C(=O)C1=O,0.19,10.1124/dmd.118.082966,76610-84-9
Cefcanel,Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(=O)O)s1,0.13,10.1124/dmd.118.082966,41952-52-7
Cefclidin,[H]N([H])C(C12CC[N+](CC1)(CC2)CC1CSC2[C@@H](C(N2C=1C(=O)O[H])=O)N([H])C(C(c1nc(N([H])[H])sn1)=NOC)=O)=O,0.27,10.1124/dmd.118.082966,105239-91-6
Cefepime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[N+]3(C)CCCC3)\c4csc(N)n4,0.28,10.1124/dmd.118.082966,88040-23-7
Cefetamet,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C)\c3csc(N)n3,0.28,10.1124/dmd.118.082966,65052-63-3
Cefixime,Nc1nc(cs1)\C(=N\OCC(=O)O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)C=C,0.24,10.1124/dmd.118.082966,79350-37-1
Cefmenoxime,N12[C@@H]([C@@H](NC(\C(c3csc(n3)N)=N/OC)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)C,0.2,10.1124/dmd.118.082966,65085-01-0
Cefmetazole,CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nnnn3C,0.13,10.1124/dmd.118.082966,56796-20-4
Cefodizime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nc(C)c(CC(=O)O)s3)\c4csc(N)n4,0.054,10.1124/dmd.118.082966,69739-16-8
Cefonicid,N12[C@@H]([C@@H](NC([C@@H](c3ccccc3)O)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)CS(O)(=O)=O,0.14,10.1124/dmd.118.082966,61270-58-4
Cefoperazone,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,0.17,10.1124/dmd.118.082966,62893-19-0
Ceforanide,NCc1ccccc1CC(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4CC(=O)O,0.17,10.1124/dmd.118.082966,60925-61-3
Cefoselis,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]1ccc(N)n1CCO)c1csc(n1)N,0.3,10.1124/dmd.118.082966,122841-10-5
Cefotaxime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)\c3csc(N)n3,0.19,10.1124/dmd.118.082966,63527-52-6
Cefotetan,CO[C@]1(NC(=O)C2SC(=C(C(=O)N)C(=O)O)S2)[C@H]3SCC(=C(N3C1=O)C(=O)O)CSc4nnnn4C,0.13,10.1124/dmd.118.082966,69712-56-7
Cefotiam,CN(C)CCn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cc4csc(N)n4)C3=O)C(=O)O,0.26,10.1124/dmd.118.082966,61622-34-2
Cefoxitin,CO[C@]1(NC(=O)Cc2cccs2)[C@H]3SCC(=C(N3C1=O)C(=O)O)COC(=O)N,0.17,10.1124/dmd.118.082966,35607-66-0
Cefozopran,[H]N([H])c1nc(C(C(N([H])[C@H]2C(N3C(=C(CN4C=CN5C4=CC=C[N-]5)CS[C@H]23)C(=O)O[H])=O)=O)=NOC)ns1,0.24,10.1124/dmd.118.082966,113359-04-9
Cefpimizole,[H]N(C([C@@H](c1ccccc1)N([H])C(c1c(C(=O)O[H])ncn1[H])=O)=O)[C@@H]1C2N(C(=C(C[n+]3ccc(CCS(=O)(=O)O[H])cc3)CS2)C(=O)O[H])C1=O,0.21,10.1124/dmd.118.082966,84880-03-5
Cefpiramide,O=C2N1/C(=C(\CS[C@@H]1[C@@H]2NC(=O)[C@@H](c3ccc(O)cc3)NC(=O)C\4=C\N\C(=C/C/4=O)C)CSc5nnnn5C)C(=O)O,0.15,10.1124/dmd.118.082966,70797-11-4
Cefpirome,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3cccc4CCCc34)\c5csc(N)n5,0.24,10.1124/dmd.118.082966,84957-29-9
Cefprozil,C\C=C\C1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O,0.21,10.1124/dmd.118.082966,92665-29-7
Cefroxadin,COC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O,0.17,10.1124/dmd.118.082966,51762-05-1
Cefsulodin,NC(=O)c1cc[n+](CC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@@H](c4ccccc4)S(=O)(=O)O)C3=O)C(=O)[O-])cc1,0.29,10.1124/dmd.118.082966,62587-73-9
Ceftaroline fosamil,C1(=O)[C@H]([C@@H]2N1C(=C(CS2)Sc1scc(n1)c1cc[n+](cc1)C)C(=O)[O-])NC(=O)/C(=N\OCC)c1nc(sn1)NP(=O)(O)O,0.53,10.1124/dmd.118.082966,229016-73-3
Ceftazidime,CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3ccccc3)\c4csc(N)n4)C(=O)O,0.31,10.1124/dmd.118.082966,72558-82-8
Ceftizoxime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(=O)O)\c3csc(N)n3,0.2,10.1124/dmd.118.082966,68401-81-0
Ceftobiprole,Nc1nc(ns1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN([C@@H]5CCNC5)C4=O,0.27,10.1124/dmd.118.082966,209467-52-7
Ceftolozane,NCCNC(=O)NC4=CN(CC=3CS[C@H]2N(C(=O)[C@H]2NC(=O)C(=N\OC(C)(C)C(=O)O)/c1nc(N)sn1)C=3C(=O)O)N(C)C4=N,0.17,10.1124/dmd.118.082966,689293-68-3
Ceftriaxone,Cn1c(nc(=O)c(n1)O)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O,0.12,10.1124/dmd.118.082966,73384-59-5
Cefuroxime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)N)\c3occc3,0.15,10.1124/dmd.118.082966,55268-75-2
Cefuzonam,s1c(cnn1)SCC1=C(N2[C@H](SC1)[C@@H](NC(\C(c1csc(n1)N)=N/OC)=O)C2=O)C(=O)O,0.2,10.1124/dmd.118.082966,82219-78-1
CEP-18770,C(N[C@H](C(N[C@@H](CC(C)C)[B](O)O)=O)[C@@H](C)O)(=O)C(=NC(=C1)C(=C2)C=CC=C2)C=C1,0.87,10.1124/dmd.118.082966,847499-27-8
Cephacetrile,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC#N)SC1)C(=O)O,0.49,10.1124/dmd.118.082966,10206-21-0
Cephalexin,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(=O)O,0.21,10.1124/dmd.118.082966,15686-71-2
Cephaloridine,[O-]C(=O)C1=C(C[n+]2ccccc2)CS[C@@H]3[C@H](NC(=O)Cc4cccs4)C(=O)N13,0.46,10.1124/dmd.118.082966,50-59-9
Cephalothin,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)O,0.07,10.1124/dmd.118.082966,153-61-7
Cephapirin,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(=O)O,0.13,10.1124/dmd.118.082966,21593-23-7
Cephradine,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C2=O)C(=O)O,0.21,10.1124/dmd.118.082966,38821-53-3
Cerivastatin,COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c1c2ccc(F)cc2)C(C)C,0.33,10.1124/dmd.118.082966,145599-86-6
Cetrorelix,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(=O)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc2cccnc2)NC(=O)[C@@H](Cc3ccc(Cl)cc3)NC(=O)[C@@H](Cc4ccc5ccccc5c4)NC(=O)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N6CCC[C@H]6C(=O)N[C@H](C)C(=O)N,0.39,10.1124/dmd.118.082966,120287-85-6
CG200745,CN(C)CCCNC(=O)\C(=C\CCCCC(=O)NO)\COc1cccc2ccccc12,0.45,10.1124/dmd.118.082966,936221-33-9
CGP15720A,c1cc(ccc1C(=O)O)NC(=O)NCCN2CCN=C2c3ccncc3,0.35,10.1124/dmd.118.082966,73998-69-3
CGP31608,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)CN)C(=O)O)O,0.23,10.1124/dmd.118.082966,107740-67-0
Chenodeoxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.19,10.1124/dmd.118.082966,474-25-9
Chlorambucil,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,0.26,10.1124/dmd.118.082966,305-03-3
Chloramphenicol,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)N(=O)=O,0.94,10.1124/dmd.118.082966,56-75-7
Chlorazepate,OC(=O)C1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,0.2,10.1124/dmd.118.082966,23887-31-2
Chlordiazepoxide,CNC1=Nc2ccc(Cl)cc2C(=N(=O)C1)c3ccccc3,0.25,10.1124/dmd.118.082966,58-25-3
Chlormethiazole,Cc1ncsc1CCCl,6.6,10.1124/dmd.118.082966,533-45-9
"Chlorophenylpiperazine, m-",Clc1cccc(c1)N2CCNCC2,2.5,10.1124/dmd.118.082966,51639-49-7
Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,140,10.1124/dmd.118.082966,1954/5/7
Chlorpheniramine,CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2,3.3,10.1124/dmd.118.082966,132-22-9
Chlorpromazine,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,10,10.1124/dmd.118.082966,50-53-3
Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0.19,10.1124/dmd.118.082966,94-20-2
Chlorprothixene,CN(C)CC\C=C/1\c2ccccc2Sc3ccc(Cl)cc13,13.7,10.1124/dmd.118.082966,113-59-7
Chlortetracycline,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)ccc(Cl)c4[C@@]3(C)O,0.9,10.1124/dmd.118.082966,57-62-5
Chlorthalidone,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,3.9,10.1124/dmd.118.082966,77-36-1
Cibenzoline,C1CN=C(N1)C2CC2(c3ccccc3)c4ccccc4,4.1,10.1124/dmd.118.082966,53267-01-9
Cicaprost,CCC#CC[C@H](C)[C@H](O)C#C[C@H]1[C@H](O)C[C@@H]2C\C(=C/COCC(=O)O)\C[C@H]12,0.08,10.1124/dmd.118.082966,94079-80-8
Ciclesonide,C1(C=C[C@@]2([C@H]3[C@H](C[C@@]4([C@@]5([C@@H](C[C@@H]4[C@@H]3CCC2=C1)O[C@H](C1CCCCC1)O5)C(COC(C(C)C)=O)=O)C)O)C)=O,2.9,10.1124/dmd.118.082966,126544-47-6
Ciclotropium,CC([N@+]1([C@@H]2C[C@@H](C[C@@H]1CC2)OC(=O)[C@@H](C3CCCC3)c4ccccc4)C)C,1.25,10.1124/dmd.118.082966,764602-65-5
Cidofovir,NC1=NC(=O)N(C[C@@H](CO)OCP(=O)(O)O)C=C1,0.49,10.1124/dmd.118.082966,113852-37-2
Cilastatin,CC1(C)C[C@@H]1C(=O)N\C(=C/CCCCSC[C@H](N)C(=O)O)\C(=O)O,0.15,10.1124/dmd.118.082966,82009-34-5
Cilazaprilat,c1ccc(cc1)CC[C@H](N[C@@H]1C(N2[C@@H](CCC[N@@]2CCC1)C(O)=O)=O)C(O)=O,3.7,10.1124/dmd.118.082966,90139-06-3
Cilengitide,N1(C)C([C@H](NC([C@@H](NC(CNC([C@H](CCCNC(N)=N)NC([C@@H]1C(C)C)=O)=O)=O)CC(=O)O)=O)Cc1ccccc1)=O,0.26,10.1124/dmd.118.082966,188968-51-6
Cilomilast,COc1ccc(cc1OC2CCCC2)[C@@]3(CC[C@H](CC3)C(=O)O)C#N,0.23,10.1124/dmd.118.082966,153259-65-5
Cimetidine,CN\C(=N/CCSCc1nc[nH]c1C)\NC#N,1.2,10.1124/dmd.118.082966,51481-61-9
Cimetropium,C[N+]1([C@@H]2C[C@H](C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)c4ccccc4)CC5CC5,1.12,10.1124/dmd.118.082966,150521-16-7
Cinacalcet ,c1cccc2cccc(c12)[C@H](NCCCc1cc(C(F)(F)F)ccc1)C,17.6,10.1124/dmd.118.082966,226256-56-0
Cinaciguat,[H]OC(CCCCN(CCc1ccccc1OCc1ccc(CCc2ccccc2)cc1)Cc1ccc(cc1)C(=O)O[H])=O,0.24,10.1124/dmd.118.082966,329773-35-5
Ciprofloxacin,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,2.1,10.1124/dmd.118.082966,85721-33-1
Cisapride,c1(c(cc(N)c(c1)Cl)OC)C(N[C@@H]1[C@@H](C[N@@](CCCOc2ccc(F)cc2)CC1)OC)=O,1.2,10.1124/dmd.118.082966,81098-60-4
