Molecule_Name,Smiles,human_fup,Source,CAS/InChiKey
Ranitidine,CN\C(=C/N(=O)=O)\NCCSCc1oc(CN(C)C)cc1,0.95,10.1124/dmd.118.082966,66357-35-5
Ranolazine,c1(c(cccc1)OC)OC[C@@H](CN1CCN(CC(Nc2c(cccc2C)C)=O)CC1)O,0.38,10.1124/dmd.118.082966,95635-55-5
Reboxetine,CCOc1ccccc1O[C@@H]([C@H]2CNCCO2)c3ccccc3,0.019,10.1124/dmd.118.082966,71620-89-8
Recainam,CC(C)NCCCNC(=O)Nc1c(C)cccc1C,0.86,10.1124/dmd.118.082966,74738-24-2
Regadenoson,OC[C@@H]1[C@@H](O)[C@@H](O)[C@@H](O1)n1cnc2c(N)nc(nc12)n1ncc(c1)C(=O)NC,0.7,10.1124/dmd.118.082966,313348-27-5
Remifentanil,CCC(=O)N(c1ccccc1)C2(CCN(CCC(=O)OC)CC2)C(=O)OC,0.3,10.1124/dmd.118.082966,132875-61-7
Remikiren,[H]N(C([C@@H](Cc1ccccc1)CS(C(C)(C)C)(=O)=O)=O)[C@@H](Cc1cn([H])cn1)C(N([H])[C@@H](CC1CCCCC1)[C@H](C(C1CC1)O[H])O[H])=O,0.055812888,10.1124/dmd.118.082966,126222-34-2
Remoxipride,CCN1CCC[C@H]1CNC(=O)c2c(OC)ccc(Br)c2OC,0.16,10.1124/dmd.118.082966,80125-14-0
Repaglinide,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N3CCCCC3)ccc1C(=O)O,0.015,10.1124/dmd.118.082966,135062-02-1
Ribavirin,NC(=O)c1ncn(n1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,1,10.1124/dmd.118.082966,36791-04-5
Ridogrel,[H]OC(CCCCON=C(c1cccc(c1)C(F)(F)F)c1cccnc1)=O,0.033,10.1124/dmd.118.082966,110140-89-1
Rifabutin,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4C(=O)C(=C5NC6(CCN(CC(C)C)CC6)N=C5c4c3C2=O)NC(=O)\C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C,0.29,10.1124/dmd.118.082966,72559-06-9
Rifampin,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)\C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C)c(\C=N\N5CCN(C)CC5)c(O)c4c3C2=O,0.2,10.1124/dmd.118.082966,13292-46-1
Rilmenidine,C1CC1C(C2CC2)NC3=NCCO3,0.9,10.1124/dmd.118.082966,54187-04-1
Riluzole,s1c(nc2c1cc(cc2)OC(F)(F)F)N,0.04,10.1124/dmd.118.082966,1744-22-5
Risedronic acid (Risedronate),OC(Cc1cccnc1)(P(=O)(O)O)P(=O)(O)O,0.76,10.1124/dmd.118.082966,105462-24-6
Risperidone,CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1,0.1,10.1124/dmd.118.082966,106266-06-2
Ritanserin,CC1=C(CCN2CCC(CC2)=C(c2ccc(cc2)F)c2ccc(cc2)F)C(N2C=CSC2=N1)=O,0.008,10.1124/dmd.118.082966,87051-43-2
Ritipenem ,C1(=O)N2[C@@H]([C@H]1[C@H](O)C)SC(COC(N)=O)=C2C(=O)[O-].[Na+],0.72,10.1124/dmd.118.082966,84845-58-9
Ritodrine,C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c2ccc(O)cc2,0.64,10.1124/dmd.118.082966,26652-09-5
Rivaroxaban,C1OCCN(c2ccc(cc2)N2C(O[C@H](C2)CNC(c2sc(cc2)Cl)=O)=O)C1=O,0.06,10.1124/dmd.118.082966,366789-02-8
Rivastigmine,CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C,0.6,10.1124/dmd.118.082966,123441-03-2
Rizatriptan,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0.86,10.1124/dmd.118.082966,144034-80-0
Ro 02-70608,O=C(C(C(Cl)=CC=C1)=C1C)N[C@H](C(O)=O)CC2=CC=C(NC(C(C(Cl)=CN=C3)=C3Cl)=O)C=C2,0.1,10.1124/dmd.118.082966,1160849-72-8
Ro25-6833,[H]N([H])c1nc(cs1)C(C(N([H])[C@@H]1C(N2C(=C(CS[C@H]12)C=C1CCN(CC(F)(F)F)C1=O)C(=O)O[H])=O)=O)=NO[H],0.043,10.1124/dmd.118.082966,161672-76-0
Rocuronium,CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N5CCOCC5)[N+]6(CC=C)CCCC6,0.54,10.1124/dmd.118.082966,143558-00-3
Rofecoxib,c1ccc(cc1)C=1C(=O)OCC1c1ccc(cc1)S(=O)(=O)C,0.13,10.1124/dmd.118.082966,162011-90-7
Roflumilast,C(=O)(c1ccc(c(c1)OCC1CC1)OC(F)F)Nc1c(cncc1Cl)Cl,0.01,10.1124/dmd.118.082966,162401-32-3
Rolapitant,C[C@H](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)OC[C@]2(CC[C@]3(CCC(=O)N3)CN2)c4ccccc4,0.002,10.1124/dmd.118.082966,552292-08-7
Rolipram,c1(c(ccc(c1)[C@@H]1CNC(C1)=O)OC)OC1CCCC1,0.11,10.1124/dmd.118.082966,61413-54-5
Rolitetracycline,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)NCN4CCCC4)C(=O)c5c(O)cccc5[C@@]3(C)O,0.5,10.1124/dmd.118.082966,751-97-3
Romidepsin,C\C=C\1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C,0.07,10.1124/dmd.118.082966,128517-07-7
Ropinirole,N1C(Cc2c1cccc2CCN(CCC)CCC)=O,0.6,10.1124/dmd.118.082966,91374-21-9
Ropivacaine,CCCN1CCCC[C@H]1C(=O)Nc2c(C)cccc2C,0.06,10.1124/dmd.118.082966,84057-95-4
Rosiglitazone,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3,0.002,10.1124/dmd.118.082966,122320-73-4
Rosuvastatin,CC(C)c1nc(nc(c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(=O)(=O)C,0.12,10.1124/dmd.118.082966,287714-41-4
Rotigotine,c12c(CC[C@@H](C1)[N@@](CCc1cccs1)CCC)c(ccc2)O,0.08,10.1124/dmd.118.082966,99755-59-6
S 12363,C1[N@@]2CC=C[C@@]3([C@@H]([C@@]([C@@H]4N(C)c5cc(OC)c(cc5[C@@]4(C1)[C@@H]23)[C@@]1(c2c(CC[N@@]3C[C@@](C[C@@H](C1)C3)(O)CC)c1ccccc1[nH]2)C(OC)=O)(O)C(=O)N[C@@H](C(C)C)P(OCC)(=O)OCC)O)CC.S(=O)(=O)(O)O,0.1,10.1124/dmd.118.082966,123286-01-1
Sabeluzole,[H]O[C@H](CN1CCC(CC1)N(C)c1nc2ccccc2s1)COc1ccc(cc1)F,0.014,10.1124/dmd.118.082966,104383-17-7
Salvianolic acid B,c1cc(c(cc1C[C@H](C(=O)O)OC(=O)/C=C/c2ccc(c3c2[C@@H]([C@H](O3)c4ccc(c(c4)O)O)C(=O)OC(Cc5ccc(c(c5)O)O)C(=O)O)O)O)O,0.08,10.1124/dmd.118.082966,121521-90-2
Saquinavir,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4,0.028,10.1124/dmd.118.082966,127779-20-8
Satavaptan,C1C[C@H](CC[C@@]21c1cc(OCC)ccc1N(S(=O)(c1c(cc(C(NC(C)(C)C)=O)cc1)OC)=O)C2=O)OCCN1CCOCC1,0.1,10.1124/dmd.118.082966,185913-78-4
Saxagliptin,N1([C@H](CC2[C@H]1C2)C#N)C(=O)[C@@H](C12CC3CC(C1)(O)CC(C3)C2)N,1,10.1124/dmd.118.082966,361442-04-8
Sch34343,C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1=O)C(=O)O)SCCOC(=O)N,0.35,10.1124/dmd.118.082966,95415-91-1
Scutellarin,c1cc(ccc1c2cc(=O)c3c(o2)cc(c(c3O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O,0.1,10.1124/dmd.118.082966,27740-01-8
Selegiline,CC(Cc1ccccc1)N(C)CC#C,0.13,10.1124/dmd.118.082966,2323-36-6
Sematilide,CCN(CC)CCNC(=O)c1ccc(NS(=O)(=O)C)cc1,0.96,10.1124/dmd.118.082966,101526-83-4
Semaxanib,N1C(\C(c2ccccc12)=C/c1[nH]c(cc1C)C)=O,0.008,10.1124/dmd.118.082966,194413-58-6
Sildenafil,c1(c2nc3c(c(=O)[nH]2)n(nc3CCC)C)c(ccc(c1)S(=O)(=O)N1CCN(CC1)C)OCC,0.04,10.1124/dmd.118.082966,139755-83-2
Silodosin,C(O)CCN1c2c(cc(C[C@H](NCCOc3c(cccc3)OCC(F)(F)F)C)cc2CC1)C(=O)N,0.05,10.1124/dmd.118.082966,160970-54-7
Sisomicin,CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(=CC[C@H]3N)CN)[C@@H]2O)OC[C@]1(C)O,0.15,10.1124/dmd.118.082966,32385-11-8
Sitafloxacin,N[C@@H]1CN(CC12CC2)c3c(F)cc4C(=O)C(=CN([C@@H]5C[C@@H]5F)c4c3Cl)C(=O)O,0.51,10.1124/dmd.118.082966,127254-12-0
Sitagliptin,N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)c(F)cc3F,0.62,10.1124/dmd.118.082966,486460-32-6
SK-896,O=C(N(CCC1)[C@@H]1C(N[C@]([C@@H](C)CC)([H])C(N[C@H](C(N[C@]([C@H](O)C)([H])C(N[C@H](C(NCC(N[C@@H](CCC(O)=O)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](CCCNC(N)=N)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](CCC(O)=O)C(N[C@@H](CCCCN)C(N[C@@H](CCC(O)=O)C(N[C@@H](CCCNC(N)=N)C(N[C@@H](CC(N)=O)C(N[C@@H](CCCCN)C(NCC(N[C@@H](CCC(N)=O)C(N[C@H](C(O)=O)CCO)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)CC2=CC=C(O)C=C2)=O)=O)CC3=CC=CC=C3)=O)=O)[C@H](C(C)C)NC([C@@H](N)CC4=CC=CC=C4)=O,0.03,10.1124/dmd.118.082966,131418-27-4
Solifenacin,O=C(O[C@H]1CN2CCC1CC2)N3CCc4ccccc4[C@@H]3c5ccccc5,0.02,10.1124/dmd.118.082966,242478-37-1
Sotalol,CC(C)NCC(O)c1ccc(NS(=O)(=O)C)cc1,0.62,10.1124/dmd.118.082966,3930-20-9
Sparfloxacin,C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O,0.55,10.1124/dmd.118.082966,110871-86-8
Spiramycin,O1[C@H](CC[C@@H](N(C)C)[C@@H]1C)O[C@@H]1[C@@H](C[C@@H]([C@@H]([C@@H](OC)[C@@H](CC(O[C@H](C)CC=CC=C1)=O)O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)N(C)C)O[C@@H]1O[C@H]([C@@H]([C@@](C1)(O)C)O)C)C)CC=O)C,0.26,10.1124/dmd.118.082966,8025-81-8
Stavudine,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,1,10.1124/dmd.118.082966,3056-17-5
Streptomycin,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O,0.65,10.1124/dmd.118.082966,57-92-1
Sufentanil,CCC(=O)N(c1ccccc1)C2(COC)CCN(CCc3cccs3)CC2,0.075,10.1124/dmd.118.082966,56030-54-7
Sulbactam,CC1(C)C(N2C(CC2=O)S1(=O)=O)C(=O)O,0.62,10.1124/dmd.118.082966,68373-14-8
Sulbenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,0.5,10.1124/dmd.118.082966,41744-40-5
Sulfadiazine,Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2,0.44,10.1124/dmd.118.082966,68-35-9
Sulfamethoxazole,Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1,0.23,10.1124/dmd.118.082966,723-46-6
Sulfasalazine,c1(S(Nc2ccccn2)(=O)=O)ccc(\N=N\c2cc(c(O)cc2)C(O)=O)cc1,0.004,10.1124/dmd.118.082966,599-79-1
Sulfinpyrazone,O=C1C(CCS(=O)c2ccccc2)C(=O)N(N1c3ccccc3)c4ccccc4,0.017,10.1124/dmd.118.082966,57-96-5
Sulfisoxazole,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0.079,10.1124/dmd.118.082966,127-69-5
Sulmazole,[H]n1c2cccnc2nc1c1ccc(cc1OC)S(C)=O,0.41,10.1124/dmd.118.082966,73384-60-8
Sulpiride,c1(c(ccc(c1)S(=O)(=O)N)OC)C(NC[C@@H]1[N@@](CCC1)CC)=O,1,10.1124/dmd.118.082966,15676-16-1
Sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,0.83,10.1124/dmd.118.082966,103628-46-2
Suprofen,CC(C(=O)O)c1ccc(cc1)C(=O)c2cccs2,0.006,10.1124/dmd.118.082966,40828-46-4
Suramin,Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,0.003,10.1124/dmd.118.082966,145-63-1
Susalimod,[H]N(c1c(C)cccn1)S(c1ccc(C#Cc2ccc(c(c2)C(=O)O[H])O[H])cc1)(=O)=O,0.0019,10.1124/dmd.118.082966,149556-49-0
Suvorexant,Cc1ccc(c(c1)C(=O)N2CCN(CC[C@H]2C)c3nc4cc(ccc4o3)Cl)n5nccn5,0.05,10.1124/dmd.118.082966,1030377-33-3
Tacrine,Nc1c2CCCCc2nc3ccccc13,0.25,10.1124/dmd.118.082966,321-64-2
Tacrolimus,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)\[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O)O[C@H]([C@H](C[C@@H](C)C\C(=C/[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)\C)OC)[C@H](C[C@H]4C)OC,0.01,10.1124/dmd.118.082966,104987-11-3
Talinolol,CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,0.39,10.1124/dmd.118.082966,57460-41-0
Tamsulosin,CCOc1ccccc1OCCN[C@H](C)Cc2ccc(OC)c(c2)S(=O)(=O)N,0.01,10.1124/dmd.118.082966,106133-20-4
Tazobactam,S1([C@@]([C@@H](N2C(=O)C[C@@H]12)C(O)=O)(Cn1ccnn1)C)(=O)=O,0.7,10.1124/dmd.118.082966,89786-04-9
Tedizolid,Cn1nc(nn1)c2ccc(cn2)c3ccc(cc3F)N4C[C@@H](OC4=O)CO,0.11,10.1124/dmd.118.082966,856866-72-3
Tegaserod,CCCCCNC(=N)N\N=C\c1c[nH]c2ccc(OC)cc12,0.02,10.1124/dmd.118.082966,145158-71-0
Teicoplanin A2-1,C(C(=O)N[C@H]1[C@H](Oc2c3cc4[C@H](C(N[C@@H]5c6cc(c7c([C@@H](NC([C@H]([C@@H](c8cc(c(O3)cc8)Cl)O[C@H]3[C@@H]([C@H]([C@H](O)[C@H](O3)CO)O)NC(C)=O)NC5=O)=O)C(=O)O)cc(O)cc7O[C@H]3O[C@@H]([C@@H](O)[C@@H]([C@@H]3O)O)CO)c(cc6)O)=O)NC([C@@H]3c5cc(Oc6cc(ccc6O)[C@@H](C(N[C@@H](C(N3)=O)Cc3cc(c(Oc2c4)cc3)Cl)=O)N)cc(c5)O)=O)O[C@@H]([C@H](O)[C@@H]1O)CO)C\C=C/CCCCC,0.14,10.1124/dmd.118.082966,91032-34-7
Teicoplanin A2-2,C(C)(CCCCCCC(=O)N[C@H]1[C@H](Oc2c3cc4[C@H](C(N[C@@H]5c6cc(c7c([C@@H](NC([C@H]([C@@H](c8cc(c(O3)cc8)Cl)O[C@H]3[C@@H]([C@H]([C@H](O)[C@H](O3)CO)O)NC(C)=O)NC5=O)=O)C(=O)O)cc(O)cc7O[C@H]3O[C@@H]([C@@H](O)[C@@H]([C@@H]3O)O)CO)c(cc6)O)=O)NC([C@@H]3c5cc(Oc6cc(ccc6O)[C@@H](C(N[C@@H](C(N3)=O)Cc3cc(c(Oc2c4)cc3)Cl)=O)N)cc(c5)O)=O)O[C@@H]([C@H](O)[C@@H]1O)CO)C,0.09,10.1124/dmd.118.082966,91032-26-7
Teicoplanin A2-3,C(CC)CCCCCCC(=O)N[C@H]1[C@H](Oc2c3cc4[C@H](C(N[C@@H]5c6cc(c7c([C@@H](NC([C@H]([C@@H](c8cc(c(O3)cc8)Cl)O[C@H]3[C@@H]([C@H]([C@H](O)[C@H](O3)CO)O)NC(C)=O)NC5=O)=O)C(=O)O)cc(O)cc7O[C@H]3O[C@@H]([C@@H](O)[C@@H]([C@@H]3O)O)CO)c(cc6)O)=O)NC([C@@H]3c5cc(Oc6cc(ccc6O)[C@@H](C(N[C@@H](C(N3)=O)Cc3cc(c(Oc2c4)cc3)Cl)=O)N)cc(c5)O)=O)O[C@@H]([C@H](O)[C@@H]1O)CO,0.06,10.1124/dmd.118.082966,91032-36-9
Teicoplanin A2-4,C([C@@H](CC)C)CCCCCC(=O)N[C@H]1[C@H](Oc2c3cc4[C@H](C(N[C@@H]5c6cc(c7c([C@@H](NC([C@H]([C@@H](c8cc(c(O3)cc8)Cl)O[C@H]3[C@@H]([C@H]([C@H](O)[C@H](O3)CO)O)NC(C)=O)NC5=O)=O)C(=O)O)cc(O)cc7O[C@H]3O[C@@H]([C@@H](O)[C@@H]([C@@H]3O)O)CO)c(cc6)O)=O)NC([C@@H]3c5cc(Oc6cc(ccc6O)[C@@H](C(N[C@@H](C(N3)=O)Cc3cc(c(Oc2c4)cc3)Cl)=O)N)cc(c5)O)=O)O[C@@H]([C@H](O)[C@@H]1O)CO,0.044,10.1124/dmd.118.082966,91032-37-0
Teicoplanin A2-5,C(C(C)C)CCCCCCC(=O)N[C@H]1[C@H](Oc2c3cc4[C@H](C(N[C@@H]5c6cc(c7c([C@@H](NC([C@H]([C@@H](c8cc(c(O3)cc8)Cl)O[C@H]3[C@@H]([C@H]([C@H](O)[C@H](O3)CO)O)NC(C)=O)NC5=O)=O)C(=O)O)cc(O)cc7O[C@H]3O[C@@H]([C@@H](O)[C@@H]([C@@H]3O)O)CO)c(cc6)O)=O)NC([C@@H]3c5cc(Oc6cc(ccc6O)[C@@H](C(N[C@@H](C(N3)=O)Cc3cc(c(Oc2c4)cc3)Cl)=O)N)cc(c5)O)=O)O[C@@H]([C@H](O)[C@@H]1O)CO,0.033,10.1124/dmd.118.082966,91032-38-1
Telavancin,CCCCCCCCCCNCCN[C@@]1(C)C[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2Oc3c4Oc5ccc(cc5Cl)[C@@H](O)[C@@H](NC(=O)[C@@H](CC(C)C)NC)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@H]6C(=O)N[C@H]7C(=O)N[C@@H]([C@H](O)c8ccc(Oc3cc6c4)c(Cl)c8)C(=O)N[C@H](C(=O)O)c9cc(O)c(CNCP(=O)(O)O)c(O)c9c%10cc7ccc%10O)O[C@@H](C)[C@H]1O,0.07,10.1124/dmd.118.082966,372151-71-8
Telithromycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]3N(CCCCn4cnc(c4)c5cccnc5)C(=O)O[C@]13C)OC,0.41,10.1124/dmd.118.082966,191114-48-4
Telmisartan,CCCc1nc2c(C)cc(cc2n1Cc3ccc(cc3)c4ccccc4C(=O)O)c5nc6ccccc6n5C,0.004,10.1124/dmd.118.082966,144701-48-4
Temocillin,N12[C@H](C(S[C@@H]2[C@](C1=O)(OC)NC(=O)[C@@H](c1cscc1)C(=O)O)(C)C)C(=O)O,0.21,10.1124/dmd.118.082966,66148-78-5
Temoporfin,c1(c2[nH]c(c(c3nc(c(c4cc(ccc4)O)c4[nH]c(c(c5nc1CC5)c1cc(ccc1)O)cc4)C=C3)c1cc(ccc1)O)cc2)c1cc(ccc1)O,0.14,10.1124/dmd.118.082966,122341-38-2
Tenidap,c1cc(sc1)/C(=C/2\c3cc(ccc3N(C2=O)C(=O)N)Cl)/O,0.01,10.1124/dmd.118.082966,120210-48-2
Teniposide,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@H](O[C@H]5[C@H](O)[C@H]4O)c6cccs6)c7cc8OCOc8cc27,0.0044,10.1124/dmd.118.082966,29767-20-2
Tenofovir,C[C@H](Cn1cnc2c(N)ncnc12)OCP(=O)(O)O,0.93,10.1124/dmd.118.082966,147127-20-6
Tenoxicam,CN1C(=C(O)c2sccc2S1(=O)=O)C(=O)Nc3ccccn3,0.0085,10.1124/dmd.118.082966,59804-37-4
Terazosin,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4CCCO4,0.08,10.1124/dmd.118.082966,63590-64-7
Terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,0.75,10.1124/dmd.118.082966,23031-25-6
Teriflunomide,c1c(ccc(c1)C(F)(F)F)NC(=O)/C(=C(/C)O)C#N,0.01,10.1124/dmd.118.082966,163451-81-8
Terodiline,CC(CC(c1ccccc1)c2ccccc2)NC(C)(C)C,0.08,10.1124/dmd.118.082966,15793-40-5
Tesaglitazar,CCO[C@@H](Cc1ccc(OCCc2ccc(OS(=O)(=O)C)cc2)cc1)C(=O)O,0.0011,10.1124/dmd.118.082966,251565-85-2
Testosterone,[C@@H]12[C@@H]([C@@]3(C(=CC(=O)CC3)CC2)C)CC[C@]2([C@H]1CC[C@@H]2O)C,0.057,10.1124/dmd.118.082966,58-22-0
Tetracycline,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)cccc4[C@@]3(C)O,0.78,10.1124/dmd.118.082966,60-54-8
"Tetrahydrocannabinol, D9-",CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1,0.05,10.1124/dmd.118.082966,1972-08-3
Tezosentan,COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cn3)C(C)C)nc(nc2OCCO)c4ccnc(c4)c5nnn[nH]5,0.0085,10.1124/dmd.118.082966,180384-57-0
Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,0.4,10.1124/dmd.118.082966,50-35-1
Theophylline,CN1C(=O)N(C)c2[nH]cnc2C1=O,0.61,10.1124/dmd.118.082966,58-55-9
Thiamphenicol glycinate,C(CN)(=O)OC[C@H]([C@@H](c1ccc(cc1)S(=O)(=O)C)O)NC(=O)C(Cl)Cl,0.27,10.1124/dmd.118.082966,2393-92-2
Thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0.14,10.1124/dmd.118.082966,76-75-5
Thiotepa,S=P(N1CC1)(N2CC2)N3CC3,0.9,10.1124/dmd.118.082966,52-24-4
Tiagabine,Cc1ccsc1C(=CCCN2CCC[C@H](C2)C(=O)O)c3sccc3C,0.04,10.1124/dmd.118.082966,115103-54-3
Tianeptine,c1(cc2c(cc1)[C@@H](c1c(cccc1)N(S2(=O)=O)C)NCCCCCCC(O)=O)Cl,0.05,10.1124/dmd.118.082966,66981-73-5
Tiaprofenic acid,O=C(c1ccccc1)c1sc(cc1)[C@@H](C(=O)O)C,0.015,10.1124/dmd.118.082966,33005-95-7
Tiazofurin,NC(=O)c1csc(n1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,0.47,10.1124/dmd.118.082966,60084-10-8
Ticagrelor,Sc1nc(N[C@@H]2C[C@H]2c3ccc(F)c(F)c3)c4nnn([C@@H]5C[C@H](OCCO)[C@@H](O)[C@H]5O)c4n1,0.002,10.1124/dmd.118.082966,274693-27-5
Ticarcillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,0.55,10.1124/dmd.118.082966,34787-01-4
Tigecycline,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(NC(=O)CNC(C)(C)C)c(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)N(C)C,0.2,10.1124/dmd.118.082966,220620-09-7
Tilidine,CCOC(=O)[C@@]1(CCC=C[C@H]1N(C)C)c2ccccc2,0.21,10.1124/dmd.118.082966,51931-66-9
Tiludronate,c1cc(ccc1Cl)SC(P(O)(O)=O)P(O)(O)=O,0.1,10.1124/dmd.118.082966,89987-06-4
Timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2,0.9,10.1124/dmd.118.082966,26839-75-8
Tinidazole,CCS(=O)(=O)CCn1c(C)ncc1N(=O)=O,0.8,10.1124/dmd.118.082966,19387-91-8
Tiopronin,C[C@@H](C(NCC(O)=O)=O)S,0.45,10.1124/dmd.118.082966,1953-02-2
Tiotropium,O(C(=O)C(c1sccc1)(O)c1cccs1)C1C[C@@H]2[C@H]3O[C@H]3[C@H](C1)[N+]2(C)C,0.28,10.1124/dmd.118.082966,186691-13-4
Tipifarnib,Cn1cncc1[C@@](c2ccc(cc2)Cl)(c3ccc4c(c3)c(cc(=O)n4C)c5cccc(c5)Cl)N,0.006,10.1124/dmd.118.082966,192185-72-1
Tirapazamine,Nc1n[n+]([O-])c2ccccc2[n+]1[O-],0.81,10.1124/dmd.118.082966,27314-97-2
Tirilazad,C1(C=C[C@@]2(C3=CC[C@@]4([C@H]([C@@H](C[C@@H]4[C@@H]3CCC2=C1)C)C(CN1CCN(CC1)c1nc(nc(c1)N1CCCC1)N1CCCC1)=O)C)C)=O,0.006,10.1124/dmd.118.082966,110101-66-1
Tirofiban,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,0.36,10.1124/dmd.118.082966,142373-60-2
Tizanidine,Clc1ccc2nsnc2c1NC3=NCCN3,0.7,10.1124/dmd.118.082966,51322-75-9
