Molecule_Name,Smiles,human_mrt,Source
Bortezomib,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O,8.8,10.1124/dmd.118.082966
Bosentan,COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4,2.3,10.1124/dmd.118.082966
Brexpiprazole,c1cc(c2ccsc2c1)N3CCN(CC3)CCCCOc4ccc5ccc(=O)[nH]c5c4,70.95,10.1124/dmd.118.082966
Brivaracetam,CCC[C@H]1CN([C@@H](CC)C(=O)N)C(=O)C1,12.47,10.1124/dmd.118.082966
Bromazepam,Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,28,10.1124/dmd.118.082966
Bromfenac,Nc1c(CC(=O)O)cccc1C(=O)c2ccc(Br)cc2,1.5,10.1124/dmd.118.082966
Bromopride,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,4,10.1124/dmd.118.082966
Bromotetrandrine,O(C)c1c2c3c(c(c1OC)Br)CCN([C@H]3Cc1cc(c(cc1)OC)Oc1ccc(C[C@H]3c4cc(O2)c(OC)cc4CCN3C)cc1)C,88.2,10.1124/dmd.118.082966
Brostallicin,c1c(cn(c1C(=O)NCC/N=C(/N)N)C)NC(=O)c1n(cc(c1)NC(=O)c1cc(cn1C)NC(=O)c1cc(cn1C)NC(=O)C(=C)Br)C,1.2,10.1124/dmd.118.082966
Brotizolam,Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Br)sc4n12,6,10.1124/dmd.118.082966
Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,3.2,10.1124/dmd.118.082966
Buflomedil,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,3.9,10.1124/dmd.118.082966
Bufuralol,CCc1cccc2cc(oc12)C(O)CNC(C)(C)C,3.2,10.1124/dmd.118.082966
Bumecaine,CCCCN1CCCC1C(=O)Nc2c(cc(cc2C)C)C,1.51,10.1124/dmd.118.082966
Bumetanide,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O,1.1,10.1124/dmd.118.082966
Bunazosin,CCCC(=O)N1CCCN(CC1)c2nc(N)c3cc(OC)c(OC)cc3n2,2.5,10.1124/dmd.118.082966
Bupivacaine,CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C,3.3,10.1124/dmd.118.082966
Buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,4.9,10.1124/dmd.118.082966
Busulphan,CS(=O)(=O)OCCCCOS(=O)(=O)C,3.8,10.1124/dmd.118.082966
Buthionine sulfoximine,C([S@@](CCCC)(=N)=O)C[C@@H](C(O)=O)N,1.9,10.1124/dmd.118.082966
Butorphanol,Oc1ccc2C[C@H]3N(CC4CCC4)CC[C@@]5(CCCC[C@@]35O)c2c1,5.3,10.1124/dmd.118.082966
Butylbiguanide,CCCCNC(=N)NC(=N)N,4.66,10.1124/dmd.118.082966
Cabazitaxel,C1(C2=C([C@H](C[C@]1([C@H]([C@H]1[C@](C(=O)[C@@H]2OC)([C@H](C[C@@H]2[C@]1(CO2)OC(=O)C)OC)C)OC(=O)c1ccccc1)O)OC(=O)[C@@H]([C@H](c1ccccc1)NC(=O)OC(C)(C)C)O)C)(C)C,72.7,10.1124/dmd.118.082966
Caderofloxacin,n1(cc(c(c2cc(c(c(c12)OC(F)F)N1C[C@@H](NCC1)C)F)=O)C(=O)O)C1CC1,7.1,10.1124/dmd.118.082966
Caffeine,CN1C(=O)N(C)c2ncn(C)c2C1=O,7.5,10.1124/dmd.118.082966
Calcitonin,CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc7ccc(cc7)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CS)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)[C@H](CS)N,0.38,10.1124/dmd.118.082966
Calcitriol,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,13.29,10.1124/dmd.118.082966
Canagliflozin,Cc1ccc(cc1Cc2ccc(s2)c3ccc(cc3)F)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,7.25,10.1124/dmd.118.082966
Candesartan,CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)C(=O)O,5.9,10.1124/dmd.118.082966
Candoxatrilat,[H]N(C1CCC(CC1)C(=O)O[H])C(C1(CCCC1)CC[C@@H](COCOC)C(=O)O[H])=O,1.81,10.1124/dmd.118.082966
Cangrelor,CSCCNc1nc(SCCC(F)(F)F)nc2n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)CO[P@@](O[P@@](O)(=O)C(Cl)(P(O)(O)=O)Cl)(O)=O)cnc12,0.07,10.1124/dmd.118.082966
Cannabidiol,CCCCCc1cc(O)c([C@@H]2C=C(C)CC[C@H]2C(=C)C)c(O)c1,8.23,10.1124/dmd.118.082966
Cannabinol,c12c3c(OC(c1ccc(c2)C)(C)C)cc(CCCCC)cc3O,15.86,10.1124/dmd.118.082966
Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,1,10.1124/dmd.118.082966
Carbazeran,c1(c(OC)cc2c(c1)c(nnc2)N1CCC(CC1)OC(NCC)=O)OC,0.25,10.1124/dmd.118.082966
Carbenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1.5,10.1124/dmd.118.082966
Carboplatin,N[Pt+2]1(N)[O-]C(=O)C2(CCC2)C(=O)[O-]1,3,10.1124/dmd.118.082966
Carebastine,C1C(CCN(C1)CCCC(c1ccc(C(C(=O)O)(C)C)cc1)=O)OC(c1ccccc1)c1ccccc1,16.7,10.1124/dmd.118.082966
Carfilzomib,C1O[C@]1(C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC(=O)CN1CCOCC1)CCc1ccccc1)=O)CC(C)C)=O)Cc1ccccc1)=O)CC(C)C)=O)C,0.05,10.1124/dmd.118.082966
Carmustine (BCNU),ClCCNC(=O)N(CCCl)N=O,0.26,10.1124/dmd.118.082966
Carnitine_L,C([N+](C)(C)C)[C@@H](CC(=O)[O-])O,4.2,10.1124/dmd.118.082966
Carocainide,C1CCN(C1)CCOc1c(OC)c2occc2c(c1NC(NC)=O)OC,4.2,10.1124/dmd.118.082966
Carprofen,CC(c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)O,7.2,10.1124/dmd.118.082966
Carumonam,NC(=O)OC[C@@H]1[C@H](NC(=O)\C(=N/OCC(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O,2,10.1124/dmd.118.082966
Carvedilol,COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23,2.8,10.1124/dmd.118.082966
Carzelesin,c1(N(CC)CC)cc2oc(C(Nc3ccc4c(c3)cc([nH]4)C(N3C[C@H](c4c5c([nH]cc5C)c(OC(=O)Nc5ccccc5)cc34)CCl)=O)=O)cc2cc1,0.51,10.1124/dmd.118.082966
Casopitant,c1(cc(cc(c1)[C@H](N(C(=O)N1CC[C@@H](C[C@@H]1c1c(cc(cc1)F)C)N1CCN(CC1)C(=O)C)C)C)C(F)(F)F)C(F)(F)F,15.04,10.1124/dmd.118.082966
Caspofungin,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(NCCN)NC(=O)C2C(O)CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(O)CN3C(=O)C(NC1=O)C(C)O)C(O)C(O)c4ccc(O)cc4)C(O)CCN,15,10.1124/dmd.118.082966
CB 10-277,CN(C)N=Nc1ccc(cc1)C(=O)O,3,10.1124/dmd.118.082966
CDK-712,C([C@H]1c2c(cc(c(c2)O)O)CCN1)c1c2c(ccc1)cccc2,0.12,10.1124/dmd.118.082966
Cefadroxil,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O,1.5,10.1124/dmd.118.082966
Cefamandole,Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(=O)O,0.75,10.1124/dmd.118.082966
Cefatrizine,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3c[nH]nn3)c4ccc(O)cc4,1.1,10.1124/dmd.118.082966
Cefazedone,c1(nnc(s1)C)SCC=1CS[C@H]2N(C1C(O)=O)C([C@H]2NC(Cn1cc(c(c(c1)Cl)=O)Cl)=O)=O,2.3,10.1124/dmd.118.082966
Cefazolin,Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)O)s1,2.2,10.1124/dmd.118.082966
Cefbuperazone,CCN1CCN(C(=O)N[C@H]([C@H](C)O)C(=O)N[C@@]2(OC)[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4C)C(=O)C1=O,2.9,10.1124/dmd.118.082966
Cefcanel,Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(=O)O)s1,0.83,10.1124/dmd.118.082966
Cefclidin,[H]N([H])C(C12CC[N+](CC1)(CC2)CC1CSC2[C@@H](C(N2C=1C(=O)O[H])=O)N([H])C(C(c1nc(N([H])[H])sn1)=NOC)=O)=O,2.6,10.1124/dmd.118.082966
Cefepime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[N+]3(C)CCCC3)\c4csc(N)n4,2.1,10.1124/dmd.118.082966
Cefetamet,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C)\c3csc(N)n3,2.5,10.1124/dmd.118.082966
Cefixime,Nc1nc(cs1)\C(=N\OCC(=O)O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)C=C,3.9,10.1124/dmd.118.082966
Cefmenoxime,N12[C@@H]([C@@H](NC(\C(c3csc(n3)N)=N/OC)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)C,0.77,10.1124/dmd.118.082966
Cefmetazole,CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nnnn3C,1.5,10.1124/dmd.118.082966
Cefodizime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nc(C)c(CC(=O)O)s3)\c4csc(N)n4,1.5,10.1124/dmd.118.082966
Cefonicid,N12[C@@H]([C@@H](NC([C@@H](c3ccccc3)O)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)CS(O)(=O)=O,5.8,10.1124/dmd.118.082966
Cefoperazone,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,2.2,10.1124/dmd.118.082966
Ceforanide,NCc1ccccc1CC(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4CC(=O)O,4.3,10.1124/dmd.118.082966
Cefoselis,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]1ccc(N)n1CCO)c1csc(n1)N,2.78,10.1124/dmd.118.082966
Cefotaxime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)\c3csc(N)n3,1.2,10.1124/dmd.118.082966
Cefotetan,CO[C@]1(NC(=O)C2SC(=C(C(=O)N)C(=O)O)S2)[C@H]3SCC(=C(N3C1=O)C(=O)O)CSc4nnnn4C,5.2,10.1124/dmd.118.082966
Cefotiam,CN(C)CCn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cc4csc(N)n4)C3=O)C(=O)O,0.76,10.1124/dmd.118.082966
Cefoxitin,CO[C@]1(NC(=O)Cc2cccs2)[C@H]3SCC(=C(N3C1=O)C(=O)O)COC(=O)N,0.79,10.1124/dmd.118.082966
Cefozopran,[H]N([H])c1nc(C(C(N([H])[C@H]2C(N3C(=C(CN4C=CN5C4=CC=C[N-]5)CS[C@H]23)C(=O)O[H])=O)=O)=NOC)ns1,2,10.1124/dmd.118.082966
Cefpimizole,[H]N(C([C@@H](c1ccccc1)N([H])C(c1c(C(=O)O[H])ncn1[H])=O)=O)[C@@H]1C2N(C(=C(C[n+]3ccc(CCS(=O)(=O)O[H])cc3)CS2)C(=O)O[H])C1=O,2.1,10.1124/dmd.118.082966
Cefpiramide,O=C2N1/C(=C(\CS[C@@H]1[C@@H]2NC(=O)[C@@H](c3ccc(O)cc3)NC(=O)C\4=C\N\C(=C/C/4=O)C)CSc5nnnn5C)C(=O)O,5.2,10.1124/dmd.118.082966
Cefpirome,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3cccc4CCCc34)\c5csc(N)n5,2.1,10.1124/dmd.118.082966
Cefprozil,C\C=C\C1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O,1.2,10.1124/dmd.118.082966
Cefroxadin,COC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O,0.59,10.1124/dmd.118.082966
Cefsulodin,NC(=O)c1cc[n+](CC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@@H](c4ccccc4)S(=O)(=O)O)C3=O)C(=O)[O-])cc1,2.47,10.1124/dmd.118.082966
Ceftaroline fosamil,C1(=O)[C@H]([C@@H]2N1C(=C(CS2)Sc1scc(n1)c1cc[n+](cc1)C)C(=O)[O-])NC(=O)/C(=N\OCC)c1nc(sn1)NP(=O)(O)O,0.11,10.1124/dmd.118.082966
Ceftazidime,CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3ccccc3)\c4csc(N)n4)C(=O)O,2.2,10.1124/dmd.118.082966
Ceftizoxime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(=O)O)\c3csc(N)n3,1.6,10.1124/dmd.118.082966
Ceftobiprole,Nc1nc(ns1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN([C@@H]5CCNC5)C4=O,3,10.1124/dmd.118.082966
Ceftolozane,NCCNC(=O)NC4=CN(CC=3CS[C@H]2N(C(=O)[C@H]2NC(=O)C(=N\OC(C)(C)C(=O)O)/c1nc(N)sn1)C=3C(=O)O)N(C)C4=N,2.39,10.1124/dmd.118.082966
Ceftriaxone,Cn1c(nc(=O)c(n1)O)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O,9.6,10.1124/dmd.118.082966
Cefuroxime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)N)\c3occc3,1.1,10.1124/dmd.118.082966
Cefuzonam,s1c(cnn1)SCC1=C(N2[C@H](SC1)[C@@H](NC(\C(c1csc(n1)N)=N/OC)=O)C2=O)C(=O)O,0.82,10.1124/dmd.118.082966
CEP-18770,C(N[C@H](C(N[C@@H](CC(C)C)[B](O)O)=O)[C@@H](C)O)(=O)C(=NC(=C1)C(=C2)C=CC=C2)C=C1,50.6,10.1124/dmd.118.082966
Cephacetrile,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC#N)SC1)C(=O)O,2.21,10.1124/dmd.118.082966
Cephalexin,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(=O)O,0.89,10.1124/dmd.118.082966
Cephaloridine,[O-]C(=O)C1=C(C[n+]2ccccc2)CS[C@@H]3[C@H](NC(=O)Cc4cccs4)C(=O)N13,2.3,10.1124/dmd.118.082966
Cephalothin,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)O,0.65,10.1124/dmd.118.082966
Cephapirin,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(=O)O,0.8,10.1124/dmd.118.082966
Cephradine,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C2=O)C(=O)O,1.1,10.1124/dmd.118.082966
Cerivastatin,COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c1c2ccc(F)cc2)C(C)C,1.8,10.1124/dmd.118.082966
Cetrorelix,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(=O)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc2cccnc2)NC(=O)[C@@H](Cc3ccc(Cl)cc3)NC(=O)[C@@H](Cc4ccc5ccccc5c4)NC(=O)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N6CCC[C@H]6C(=O)N[C@H](C)C(=O)N,5.4,10.1124/dmd.118.082966
CG200745,CN(C)CCCNC(=O)\C(=C\CCCCC(=O)NO)\COc1cccc2ccccc12,4.1,10.1124/dmd.118.082966
CGP15720A,c1cc(ccc1C(=O)O)NC(=O)NCCN2CCN=C2c3ccncc3,3.52,10.1124/dmd.118.082966
CGP31608,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)CN)C(=O)O)O,0.5,10.1124/dmd.118.082966
Chenodeoxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.57,10.1124/dmd.118.082966
Chlorambucil,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,1.5,10.1124/dmd.118.082966
Chloramphenicol,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)N(=O)=O,6.5,10.1124/dmd.118.082966
Chlorazepate,OC(=O)C1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,3,10.1124/dmd.118.082966
Chlordiazepoxide,CNC1=Nc2ccc(Cl)cc2C(=N(=O)C1)c3ccccc3,11,10.1124/dmd.118.082966
Chlormethiazole,Cc1ncsc1CCCl,3.3,10.1124/dmd.118.082966
"Chlorophenylpiperazine, m-",Clc1cccc(c1)N2CCNCC2,7,10.1124/dmd.118.082966
Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,740,10.1124/dmd.118.082966
Chlorpheniramine,CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2,22,10.1124/dmd.118.082966
Chlorpromazine,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,10,10.1124/dmd.118.082966
Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,70,10.1124/dmd.118.082966
Chlorprothixene,CN(C)CC\C=C/1\c2ccccc2Sc3ccc(Cl)cc13,20.7,10.1124/dmd.118.082966
Chlortetracycline,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)ccc(Cl)c4[C@@]3(C)O,7.4,10.1124/dmd.118.082966
Chlorthalidone,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,43,10.1124/dmd.118.082966
Cibenzoline,C1CN=C(N1)C2CC2(c3ccccc3)c4ccccc4,7.8,10.1124/dmd.118.082966
Cicaprost,CCC#CC[C@H](C)[C@H](O)C#C[C@H]1[C@H](O)C[C@@H]2C\C(=C/COCC(=O)O)\C[C@H]12,0.35,10.1124/dmd.118.082966
Ciclesonide,C1(C=C[C@@]2([C@H]3[C@H](C[C@@]4([C@@]5([C@@H](C[C@@H]4[C@@H]3CCC2=C1)O[C@H](C1CCCCC1)O5)C(COC(C(C)C)=O)=O)C)O)C)=O,1.45,10.1124/dmd.118.082966
Ciclotropium,CC([N@+]1([C@@H]2C[C@@H](C[C@@H]1CC2)OC(=O)[C@@H](C3CCCC3)c4ccccc4)C)C,2.48,10.1124/dmd.118.082966
Cidofovir,NC1=NC(=O)N(C[C@@H](CO)OCP(=O)(O)O)C=C1,3.3,10.1124/dmd.118.082966
Cilastatin,CC1(C)C[C@@H]1C(=O)N\C(=C/CCCCSC[C@H](N)C(=O)O)\C(=O)O,1.1,10.1124/dmd.118.082966
Cilazaprilat,c1ccc(cc1)CC[C@H](N[C@@H]1C(N2[C@@H](CCC[N@@]2CCC1)C(O)=O)=O)C(O)=O,29.5,10.1124/dmd.118.082966
Cilengitide,N1(C)C([C@H](NC([C@@H](NC(CNC([C@H](CCCNC(N)=N)NC([C@@H]1C(C)C)=O)=O)=O)CC(=O)O)=O)Cc1ccccc1)=O,3.67,10.1124/dmd.118.082966
Cilomilast,COc1ccc(cc1OC2CCCC2)[C@@]3(CC[C@H](CC3)C(=O)O)C#N,8.5,10.1124/dmd.118.082966
Cimetidine,CN\C(=N/CCSCc1nc[nH]c1C)\NC#N,2.5,10.1124/dmd.118.082966
Cimetropium,C[N+]1([C@@H]2C[C@H](C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)c4ccccc4)CC5CC5,0.74,10.1124/dmd.118.082966
Cinacalcet ,c1cccc2cccc(c12)[C@H](NCCCc1cc(C(F)(F)F)ccc1)C,16,10.1124/dmd.118.082966
Cinaciguat,[H]OC(CCCCN(CCc1ccccc1OCc1ccc(CCc2ccccc2)cc1)Cc1ccc(cc1)C(=O)O[H])=O,0.44,10.1124/dmd.118.082966
Ciprofloxacin,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,4.2,10.1124/dmd.118.082966
Cisapride,c1(c(cc(N)c(c1)Cl)OC)C(N[C@@H]1[C@@H](C[N@@](CCCOc2ccc(F)cc2)CC1)OC)=O,12.9,10.1124/dmd.118.082966
Cisatracurium,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]4(C)CCc5cc(OC)c(OC)cc5[C@H]4Cc6ccc(OC)c(OC)c6)cc1OC,0.43,10.1124/dmd.118.082966
Citalopram,CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,47,10.1124/dmd.118.082966
Cladribine,Nc1nc(Cl)nc2c1ncn2[C@H]3C[C@H](O)[C@@H](CO)O3,9.2,10.1124/dmd.118.082966
Clarithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,3.4,10.1124/dmd.118.082966
Clavulanic Acid,OC\C=C\1/O[C@@H]2CC(=O)N2[C@H]1C(=O)O,1,10.1124/dmd.118.082966
Clazosentan,[H]N(c1c(c(nc(c2ccnc(c2)c2nnnn2[H])n1)OCCO[H])Oc1ccccc1OC)S(c1ccc(C)cn1)(=O)=O,0.4,10.1124/dmd.118.082966
Clentiazem,c1([C@H]2[C@H](C(N(CCN(C)C)c3c(cc(cc3)Cl)S2)=O)OC(C)=O)ccc(OC)cc1,12.3,10.1124/dmd.118.082966
Clevidipine,CCCC(=O)OCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C,0.07,10.1124/dmd.118.082966
Clinafloxacin,NC1CCN(C1)c2c(F)cc3C(=O)C(=CN(C4CC4)c3c2Cl)C(=O)O,6.7,10.1124/dmd.118.082966
Clindamycin,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O,2.9,10.1124/dmd.118.082966
Clodronate,C(P(O)(O)=O)(P(O)(O)=O)(Cl)Cl,9.2,10.1124/dmd.118.082966
Clofarabine,n1c(N)c2c(nc1Cl)n([C@H]1[C@H]([C@@H]([C@H](O1)CO)O)F)cn2,3.8,10.1124/dmd.118.082966
Clomipramine,CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,26,10.1124/dmd.118.082966
Clonazepam,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,55,10.1124/dmd.118.082966
Clonidine,Clc1cccc(Cl)c1NC2=NCCN2,14,10.1124/dmd.118.082966
Clopidogrel,COC(=O)[C@H](c1ccccc1Cl)N2CCc3c(ccs3)C2,1.42,10.1124/dmd.118.082966
Clozapine,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,11,10.1124/dmd.118.082966
Cobimetinib,c1cc(c(cc1I)F)Nc2c(ccc(c2F)F)C(=O)N3CC(C3)([C@@H]4CCCCN4)O,96.6,10.1124/dmd.118.082966
Cocaethylene,CCOC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3,2,10.1124/dmd.118.082966
Cocaine,COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3,1,10.1124/dmd.118.082966
Codeine,COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,3.9,10.1124/dmd.118.082966
Colchicine,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,49,10.1124/dmd.118.082966
Combretastatin A4 Phosphate,c1(cc(c(c(c1)OC)OC)OC)/C=C\c1ccc(c(c1)OP(=O)(O)O)OC,0.3,10.1124/dmd.118.082966
Conivaptan,Cc1nc2CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6c2[nH]1,4.2,10.1124/dmd.118.082966
Copanlisib,COc1c(ccc2c1N=C(N3C2=NCC3)NC(=O)c4cnc(nc4)N)OCCCN5CCOCC5,26.8,10.1124/dmd.118.082966
Cositecan,CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5ccccc5c4CC[Si](C)(C)C)O,13.33,10.1124/dmd.118.082966
Cotinine,CN1[C@@H](CCC1=O)c2cccnc2,21,10.1124/dmd.118.082966
Coumarin,c12c(ccc(o1)=O)cccc2,0.78,10.1124/dmd.118.082966
