Molecule_Name,Smiles,rat_CL_mL_min_kg,Source
CHEMBL4761134,C[C@@H](N1CN([C@@H]2c3ccccc3SCc3c(Cl)cccc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,7.36,CHEMBL 35
CHEMBL4854326,CC1(C)CC(Nc2cc(NCc3cnccc3C(F)(F)F)ncc2C#N)CC(C)(C)N1,219,CHEMBL 35
CHEMBL4483053,Cc1noc2ccc(Nc3n[nH]c4cc(F)cnc34)cc12,64.6,CHEMBL 35
CHEMBL4588443,O=C(NC1CC(F)(F)C1)c1nsc2cc(Nc3n[nH]c4cccnc34)ccc12,3.1,CHEMBL 35
CHEMBL4569388,Cc1cn(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)cn1,10.83,CHEMBL 35
CHEMBL4456722,CN(C)CCn1cc(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)cn1,61,CHEMBL 35
CHEMBL4637980,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4ccccc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,79,CHEMBL 35
CHEMBL4756267,C[C@@H](N1CN([C@H]2c3ccccc3CSc3cccc(F)c32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,9.09,CHEMBL 35
CHEMBL4763708,C[C@@H](N1CN([C@H]2c3cc(F)ccc3CSc3ccccc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,21.3,CHEMBL 35
CHEMBL4798466,C[C@@H](N1CN([C@@H]2c3ccccc3SCc3c2ccc(F)c3F)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,11,CHEMBL 35
CHEMBL4562269,C[C@H]1CCCOc2cc(F)ccc2C(=O)Nc2cccc(n2)-c2nncn21,13.67,CHEMBL 35
CHEMBL4760873,Cc1ccc(C(=O)NC2CC2)cc1-n1ccnc(NC(C)(C)c2ccccc2OCCN2CCCC2)c1=O,99,CHEMBL 35
CHEMBL1628161,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OC)C[C@@]21C,52,CHEMBL 35
CHEMBL696,CCC1(C)CC(=O)NC1=O,3.1,CHEMBL 35
CHEMBL285347,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,16,CHEMBL 35
CHEMBL4643660,CNC(=O)c1cc(C(=O)NC2CC2)cc2c1O[C@H](C)[C@H]2c1ccccc1,90,CHEMBL 35
CHEMBL4642745,CNC(=O)c1cc(C(=O)NC2CC2)cc2c1O[C@H](CO)[C@H]2c1ccccc1,74,CHEMBL 35
CHEMBL4516765,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,51.67,CHEMBL 35
CHEMBL4645570,COc1ncc(N2CCOc3ccc(CN(C)C)cc32)cc1NS(C)(=O)=O,233,CHEMBL 35
CHEMBL184012,Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,10,CHEMBL 35
CHEMBL198415,O=C(O)C1CN(Cc2ccc(-c3noc(-c4ccc([C@H]5CCC(F)(F)C5)cc4)n3)cc2)C1,10,CHEMBL 35
CHEMBL192940,O=C(O)[C@]1(OCc2cccc(-c3cc4ccccc4o3)c2)C[C@@H](O)[C@@H](O)[C@H](O)C1,10,CHEMBL 35
CHEMBL194407,C(#Cc1ccccn1)C1=CCC(Nc2cccnc2)CC1,34,CHEMBL 35
CHEMBL154751,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4c(C)cccc4C)CC3)ccc2s1,54.5,CHEMBL 35
CHEMBL361355,C[C@@H](NC(=O)c1ccco1)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,38.33,CHEMBL 35
CHEMBL365145,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)c2noc(O)n2)cc1)c1c(Cl)cncc1Cl,60,CHEMBL 35
CHEMBL695,CN1C(=O)OC(C)(C)C1=O,5.7,CHEMBL 35
CHEMBL90555,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,2,CHEMBL 35
CHEMBL161,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,4,CHEMBL 35
CHEMBL183280,O=C(O)COc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,39.4,CHEMBL 35
CHEMBL425163,CCCNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,5.8,CHEMBL 35
CHEMBL178682,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3cc(F)cc(F)c3)ccc2o1,20.83,CHEMBL 35
CHEMBL194538,Cc1ccc(S(=O)(=O)N2CC=C(C#Cc3ccccn3)CC2)cc1,29,CHEMBL 35
CHEMBL197724,O=S(=O)(c1ccc(Br)cc1)N1CC=C(C#Cc2ccccn2)CC1,64,CHEMBL 35
CHEMBL251030,O=c1[nH]c(CCCN2CC=C(c3ccc(F)cc3)CC2)nc2c(Cl)cccc12,13.5,CHEMBL 35
CHEMBL4639111,O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N[C@H]1CCCNC1)c1cc(-c2ccccc2Cl)on1,13.8,CHEMBL 35
CHEMBL179539,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3cccc(F)c3)ccc2o1,28.83,CHEMBL 35
CHEMBL4760935,C[C@@H](N1CN([C@H]2c3ccccc3CSc3cccc(Cl)c32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,10.2,CHEMBL 35
CHEMBL4796122,C[C@@H](N1CN([C@H]2c3ccccc3CSc3cc(Cl)ccc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,12.2,CHEMBL 35
CHEMBL436483,O=C(O)C1(c2ccc(-c3ccc(OC4CCC(C(F)(F)F)CC4)cc3)c(F)c2)CC1,0.3133,CHEMBL 35
CHEMBL362548,Cc1ccnnc1N1CCN(C(=O)Nc2ccc(C(C)(C)C)cc2)[C@H](C)C1,116.67,CHEMBL 35
CHEMBL198509,N#Cc1cccc(-c2cnnc(-c3ccccc3)c2)c1,36,CHEMBL 35
CHEMBL192613,O=C(O)c1cccc(C[C@@H]2CCCC=C2c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1,11.2,CHEMBL 35
CHEMBL4454698,c1cnc2c(Nc3ccc4c(C5CCCC5)noc4c3)n[nH]c2n1,23.2,CHEMBL 35
CHEMBL3946820,O=C(O)CC[C@H]1CCc2cc(-c3nc(OC4CCC4)ccc3F)ccc2O1,9.1,CHEMBL 35
CHEMBL4757678,C[C@](N)(CCNS(=O)(=O)c1ccc(C#N)cc1C(F)(F)F)COc1ccc(C#N)c(F)c1,37,CHEMBL 35
CHEMBL4453941,CC(C)(C#N)c1cccc(-c2ccnc3[nH]ccc23)n1,42,CHEMBL 35
CHEMBL4559701,CC(C)(C#N)c1cccc(-c2ccnc3[nH]ncc23)c1,12,CHEMBL 35
CHEMBL4461649,NCC1(c2cccc(-c3ccnc4[nH]nc(C(F)(F)F)c34)c2)COC1,62,CHEMBL 35
CHEMBL187864,CCCC[C@H](NC(=O)O[C@H](Cn1cnc(-c2ccc(C(F)(F)F)cc2)c1)C(C)(C)C)C(=O)C(=O)Nc1nccs1,15,CHEMBL 35
CHEMBL196246,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,0.015,CHEMBL 35
CHEMBL426617,CCCC[C@H](NC(=O)OC(Cc1nnc(-c2ccc(F)cc2)o1)C(C)(C)C)C(=O)C(=O)N[C@H]1CCCNC1=O,35,CHEMBL 35
CHEMBL5092706,C[C@@H](CN1CCC2(CC1)OC(=O)Nc1ccncc12)NC(=O)c1ccc(F)cc1,48,CHEMBL 35
CHEMBL303209,CC1(C)OC(=O)Nc2ccc(-c3cccc(C#N)c3)cc21,36.33,CHEMBL 35
CHEMBL361801,C[C@@H]1CCCN1CCc1cc2cc(-c3cccc(C#N)c3)ccc2o1,20,CHEMBL 35
CHEMBL414846,C/C=C/c1ccc(-c2cccc(CO[C@]3(C(=O)O)C[C@@H](O)[C@H](O)[C@H](O)C3)c2)cc1,6,CHEMBL 35
CHEMBL5080277,C[C@@H](CN1CCC2(CC1)OC(=O)Nc1cccnc12)NC(=O)c1ccc(F)cc1,40,CHEMBL 35
CHEMBL190033,O=C(O)[C@]1(OCc2cccc(-c3ccc(OC(F)(F)F)cc3)c2)C[C@@H](O)[C@@H](O)[C@H](O)C1,5,CHEMBL 35
CHEMBL190845,CCCC(CCC)N1CCn2c(=O)n(-c3ccc(OC)cc3)c3nc(C)cc1c32,53.4,CHEMBL 35
CHEMBL190842,CN1CCN(CCCCN(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)[C@@H]2CC[C@]3(c4ccc(C#N)cc4)C[C@H]23)CC1,21.8,CHEMBL 35
CHEMBL5086297,C[C@@H](C(=O)N1CCC(F)(F)C1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,34,CHEMBL 35
CHEMBL5092677,C[C@@H]1CN(C(=O)[C@H](C)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)C[C@H](C)N1,45,CHEMBL 35
CHEMBL191584,CCCC[C@H](NC(=O)O[C@H](Cn1cnc(-c2ccc(C(F)(F)F)cc2)c1)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1,15,CHEMBL 35
CHEMBL186009,COC(=O)NCCCOc1ccc(C[C@H](NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc3c(c2)OCO3)cc1,0.7167,CHEMBL 35
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,47,CHEMBL 35
CHEMBL178475,CCN(CC)CCN1C(=O)[C@@](O)(c2ccc(Cl)cc2Cl)c2c1cc(C(N)=O)cc2C(F)(F)F,51,CHEMBL 35
CHEMBL365848,O=C(O)[C@]1(OCc2ccc(-c3ccccc3C(F)(F)F)cc2)C[C@@H](O)[C@@H](O)[C@H](O)C1,4,CHEMBL 35
CHEMBL17125,Cc1nc(=O)c(C#N)c(NCc2cccnc2)[nH]1,28,CHEMBL 35
CHEMBL2220442,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,32,CHEMBL 35
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,12,CHEMBL 35
CHEMBL70088,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)S[C@H]12,16,CHEMBL 35
CHEMBL180019,CC(C)Cc1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,2.6,CHEMBL 35
CHEMBL286259,CC1=NC(=O)C(CCN(C(C)C)C(C)C)(c2ccccc2)C2CCCCN12,9.8,CHEMBL 35
CHEMBL179657,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCOCC4)cc3Cl)cc2O1,15.6,CHEMBL 35
CHEMBL180125,C[C@@H]1CCCN1CCc1cc2cc(-c3ccc(CO)cc3)ccc2o1,301.67,CHEMBL 35
CHEMBL528,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,19,CHEMBL 35
CHEMBL2031465,Cc1ccc(C(=O)NC2CC2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,26,CHEMBL 35
CHEMBL4647791,Cc1nc2c(-c3nnc[nH]3)cc(-c3ccnc(C#N)c3)cc2n1-c1ccnc2c(F)ccc(F)c12,32.83,CHEMBL 35
CHEMBL195030,N[C@@H](CC(=O)N1CCc2sc(-c3ccc(F)cc3)nc2C1)Cc1cc(F)ccc1F,91,CHEMBL 35
CHEMBL2147028,CC(C)(C)CC(=O)Nc1nn2cccnc2c1-c1ccc(OC(F)(F)F)cc1,13.33,CHEMBL 35
CHEMBL4800389,CC(C)C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O,6.76,CHEMBL 35
CHEMBL4103104,C[C@@H](N1CN([C@H]2c3ccccc3CSc3ccccc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,15.8,CHEMBL 35
CHEMBL179608,CCCC(CCC)N1CCC2CN(c3ccc(Cl)cc3Cl)c3nc(C)nc1c32,31,CHEMBL 35
CHEMBL4760987,C[C@@H](N1CN([C@H]2c3ccccc3CSc3c(F)cccc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,10.3,CHEMBL 35
CHEMBL4758004,C[C@@H](N1CN([C@H]2c3cc(Cl)ccc3CSc3ccccc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,12.4,CHEMBL 35
CHEMBL4753854,N#Cc1ccc(OC[C@@H](N)CCNS(=O)(=O)c2ccc(Cl)cc2Cl)cc1F,4.3,CHEMBL 35
CHEMBL4784771,N#Cc1ccc(N)c(OC[C@@H](N)CCNS(=O)(=O)c2ccc(Cl)cc2Cl)c1,38,CHEMBL 35
CHEMBL4779264,C[C@@H](N1CN([C@H]2c3ccccc3CSc3cc(F)ccc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,13.4,CHEMBL 35
CHEMBL4784877,O=C1c2c(O)c(=O)ccn2N(C2c3ccccc3CSc3ccccc32)CN1C(CF)CF,33.5,CHEMBL 35
CHEMBL4789020,CC(C)C[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCCN)NC(=O)[C@@H]2CCCN2)CSCC(=O)NCCN(C(=O)CCC(=O)NCCOCCOCCC(=O)NCCOCCOCCC(=O)NCCCC[C@H](NC(=O)CCCCCCCCCCCCCCCCC(=O)O)C(=O)O)CCNC(=O)CSC[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(N)=O)[C@@H](C)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,0.234,CHEMBL 35
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.43,CHEMBL 35
CHEMBL372546,C[C@@H]1CCCN1CCc1cc2cc(CNc3ncccn3)ccc2o1,47.67,CHEMBL 35
CHEMBL363375,N[C@@H](CC(=O)N1CCc2sc(C(F)(F)F)nc2C1)Cc1cc(F)ccc1F,250,CHEMBL 35
CHEMBL4792347,CNCCOc1ccccc1C(C)(C)Nc1nccn(-c2cc(C(=O)NC3CC3)ccc2C)c1=O,59,CHEMBL 35
CHEMBL296804,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1)c1c(Cl)cncc1Cl,38.2,CHEMBL 35
CHEMBL366338,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)c2cc(O)no2)cc1)c1c(Cl)cncc1Cl,37.57,CHEMBL 35
CHEMBL114715,N=C(N)NCCCNC(=O)[C@@H]1CCCCN1C(=O)[C@@H](CC1CCCCC1)NCC(=O)O,58,CHEMBL 35
CHEMBL178659,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCC(C)(C)CC4)cc3Cl)cc2O1,2.7,CHEMBL 35
CHEMBL368699,Cc1ccc(C(=O)c2ccc3oc(CCN4CCC[C@H]4C)cc3c2)cc1,44.67,CHEMBL 35
CHEMBL5188786,C=CC(=O)N(C)CCOc1c(N)ncnc1-c1ccc(CN2CCN(CC(C)C)CC2=O)c(C)c1,126,CHEMBL 35
CHEMBL4750699,CCCC[C@H]1C(=O)N(C)[C@@H](CCC)C(=O)N[C@@H](C2CCCCC2)C(=O)N[C@@H](CN)C(=O)N[C@@H](CO[C@H]2C[C@H](N)C2)C(=O)N[C@H](C)CN1CCCC,24,CHEMBL 35
CHEMBL385181,NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1,9.8,CHEMBL 35
CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,13,CHEMBL 35
CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,21,CHEMBL 35
CHEMBL432103,CC1CCCC(C)N1CCCC(O)(c1ccccc1)c1ccccn1,23,CHEMBL 35
CHEMBL6273,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,5.7,CHEMBL 35
CHEMBL4788270,C[C@@H](N1CN([C@H]2c3ccccc3CSc3ccc(F)cc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,15.4,CHEMBL 35
CHEMBL4763145,C[C@@H](N1CN([C@@H]2c3ccccc3SCc3c(F)cccc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,8.37,CHEMBL 35
CHEMBL4783032,C[C@@H](N1CN([C@H]2c3ccccc3CSc3c(Cl)cccc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,6.78,CHEMBL 35
CHEMBL4758477,C[C@@H](N1CN([C@H]2c3ccccc3SCc3cccc(Cl)c32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,19.6,CHEMBL 35
CHEMBL183965,O=C1Nc2c(Cl)ccc(OCCO)c2C2(CCCCC2)N1,33.6,CHEMBL 35
CHEMBL363350,O=C([O-])COc1cccc(C[C@@H]2CCC=C2c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1.[Na+],9.19,CHEMBL 35
CHEMBL5416435,CC(C)C[C@H](NC(=O)C(=O)NCC(F)(F)F)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(F)(F)F,35.6,CHEMBL 35
CHEMBL5181350,C[C@@H](N)c1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]cnc21,20,CHEMBL 35
CHEMBL238103,COc1ncc(OC)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,13,CHEMBL 35
CHEMBL6231,CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,12,CHEMBL 35
CHEMBL4554158,Cc1nn(C)cc1NC(=O)[C@@H]1CCCC[C@H]1C(=O)c1ccc(-c2cc[nH]n2)cc1F,13.3,CHEMBL 35
CHEMBL179702,C[C@@H]1CC[C@@H](C)N1CCCOc1ccc(-c2ccc(C(=O)N3CCOCC3)cc2)cc1,53.33,CHEMBL 35
CHEMBL426603,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccccc3F)ccc2o1,51.33,CHEMBL 35
CHEMBL178513,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC4CC4)cc3Cl)cc2O1,5.1,CHEMBL 35
CHEMBL4437680,c1cnc2c(Nc3ccc4c(C5CCCC5)noc4c3)n[nH]c2c1,62.1,CHEMBL 35
CHEMBL4436346,CC(C)(C)Cc1noc2cc(Nc3n[nH]c4nccnc34)ccc12,37.8,CHEMBL 35
CHEMBL4639514,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)C4CCOCC4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,104,CHEMBL 35
CHEMBL215303,C[C@H]1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21,12.1,CHEMBL 35
CHEMBL158,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,8,CHEMBL 35
CHEMBL306713,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCOC(N)=O)S[C@H]12,29,CHEMBL 35
CHEMBL1276663,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CS[C@H]12)c1nsc(N)n1,9.4,CHEMBL 35
CHEMBL15413,CO[C@@]1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)CO[C@@H]21,19,CHEMBL 35
CHEMBL4749555,N#Cc1ccc(S(=O)(=O)NCC[C@H](N)COc2ccc(C#N)c(F)c2)c(C(F)(F)F)c1,4.7,CHEMBL 35
CHEMBL187107,N#Cc1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,17,CHEMBL 35
CHEMBL5092708,C[C@@H](CN1CCC2(CC1)OC(=O)Nc1ccccc12)NC(=O)c1ccc(F)cc1,40,CHEMBL 35
CHEMBL5080618,C[C@@H](CN1CCC2(CC1)NC(=O)Nc1ccccc12)NC(=O)c1ccc(F)cc1,15,CHEMBL 35
CHEMBL369510,CCCC(CCC)N1CC2CCN(c3ccc(Cl)cc3Cl)c3nc(C)nc1c32,32,CHEMBL 35
CHEMBL311730,CCCN1CCC[C@@H](c2cccc(S(C)(=O)=O)c2)C1,46.7,CHEMBL 35
CHEMBL1350,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,3.3,CHEMBL 35
CHEMBL3301673,CCCCCNC(=O)c1coc([C@H]2[C@@H](Cc3ccccc3CCC(=O)O)[C@@H]3CC[C@H]2O3)n1,88,CHEMBL 35
CHEMBL6622,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],118,CHEMBL 35
CHEMBL5200395,CCCC1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1.Cl,60,CHEMBL 35
CHEMBL3947070,O=C(O)CC[C@H]1CCc2cc(-c3cc(OC4CCC4)cc(F)c3F)ccc2O1,5.4,CHEMBL 35
CHEMBL3980898,CO[C@H]1C[C@H](Oc2cc(F)c(F)c(-c3ccc4c(c3)CC[C@H](CCC(=O)O)O4)n2)C1,1.3,CHEMBL 35
CHEMBL3943315,COc1cc(Oc2ncc(C)s2)cc(-c2ccc3c(c2)CC[C@H](CCC(=O)O)O3)c1F,1.6,CHEMBL 35
CHEMBL5402318,CC(C)/C=C/C(=O)N1CC2(CC2)C[C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(F)(F)F,53.2,CHEMBL 35
CHEMBL408,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,22,CHEMBL 35
CHEMBL132589,O=C([O-])COc1cccc(C[C@@H]2CCCC=C2c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1.[Na+],17.7,CHEMBL 35
CHEMBL3707392,O=C1c2cc(-c3ccc(OC(F)(F)F)cc3)ccc2OCCN1Cc1ncccn1,2.333,CHEMBL 35
CHEMBL5272051,O=c1cc(CO)n(-c2c(Cl)cccc2Cl)c2c(Cl)cnc(OC[C@H](O)CO)c12,35,CHEMBL 35
CHEMBL364284,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)c(F)c2)C(=O)O1)c1ccc(Cl)s1,18.17,CHEMBL 35
CHEMBL198362,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,6.667,CHEMBL 35
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,11,CHEMBL 35
CHEMBL4448829,C[C@H](CCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,18.33,CHEMBL 35
CHEMBL369310,Cc1nc(C#Cc2ccc(-c3cccnc3)nc2)cs1,15,CHEMBL 35
CHEMBL292065,Cc1nc(C#Cc2cccnc2)cs1,28,CHEMBL 35
CHEMBL365499,N#Cc1cccc(-n2nnc(-c3ccccn3)n2)c1,33,CHEMBL 35
CHEMBL363319,N[C@@H](CC(=O)N1CCSC1)Cc1cc(F)c(F)cc1F,120,CHEMBL 35
CHEMBL4470860,Cc1nc2c(-c3nnc[nH]3)cc(-c3ccnc(N)c3F)cc2n1-c1ccnc2c(F)ccc(F)c12,11.33,CHEMBL 35
CHEMBL4475667,Cn1cc(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)cn1,8.333,CHEMBL 35
CHEMBL3808443,CO[C@H](C(=O)Nc1nnc(N[C@@H]2CCN(c3nccnn3)C2)s1)c1ccccc1,12,CHEMBL 35
CHEMBL4647044,CNC(=O)c1cc(C(=O)N[C@@H]2C[C@H]2CO)cc2c1O[C@H](CF)[C@H]2c1ccccc1,98,CHEMBL 35
CHEMBL4637298,CNC(=O)c1cc(C(=O)N[C@@H]2[C@@H]3COC[C@@H]32)cc2c1O[C@H](CF)[C@H]2c1ccccc1,73,CHEMBL 35
CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,9.4,CHEMBL 35
